query_id,query,n_words,jaccard_top5_overlap,distilbert-base-uncased_lexical_overlap,BAAI/bge-large-en-v1.5_lexical_overlap
1100,Statins increase blood cholesterol.,4,0.1111111111111111,0.15,0.3
1099,Statins decrease blood cholesterol.,4,0.1111111111111111,0.05,0.3
870,Obesity decreases life quality.,4,0.1111111111111111,0.1,0.25
294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,12,0.0,0.14999999999999997,0.2833333333333333
831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,12,0.0,0.31666666666666665,0.36666666666666664
1272,The single flash-evoked ERG b-wave is generated by activity of ON-bipolar cells.,12,0.1111111111111111,0.3666666666666667,0.36666666666666664
887,Only a minority of cells survive development after differentiation into stress-resistant spores.,12,0.0,0.3333333333333333,0.31666666666666665
1344,Up-regulation of the p53 pathway and related molecular events casues cancer resistance and results in a significantly shortened lifespan marked by senescent cells and accelerated organismal aging.,27,0.1111111111111111,0.328,0.34400000000000003
1185,The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,28,0.42857142857142855,0.3384615384615385,0.43076923076923074
587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",29,0.0,0.2956521739130435,0.34782608695652173
