query_id,latency_s,recall_at_5,vectors_examined,retrieved_doc_ids
1,0.003340005874633789,0.0,5183,"['4346436', '17388232', '29638116', '25435456', '43990286']"
3,0.003749847412109375,0.0,5183,"['23389795', '19058822', '1388704', '4414547', '15153602']"
5,0.0009090900421142578,1.0,5183,"['13734012', '3413083', '5850219', '29955650', '46695481']"
13,0.0010769367218017578,0.0,5183,"['1263446', '4791384', '26611834', '7662395', '8529693']"
36,0.0015168190002441406,0.0,5183,"['18557974', '3215494', '16252863', '33409100', '18256197']"
42,0.003220081329345703,1.0,5183,"['18174210', '27889071', '1145473', '24042919', '40913091']"
48,0.0017559528350830078,1.0,5183,"['13734012', '11349166', '27063470', '18617259', '23203102']"
49,0.0013642311096191406,1.0,5183,"['5953485', '5702790', '23913146', '12652963', '22362025']"
50,0.0007333755493164062,1.0,5183,"['12580014', '25738896', '18488986', '39559521', '13989491']"
51,0.0006058216094970703,1.0,5183,"['45638119', '31311495', '24349992', '17088791', '36212758']"
53,0.001337289810180664,1.0,5183,"['45638119', '6517763', '31311495', '24349992', '17088791']"
54,0.0006189346313476562,1.0,5183,"['49556906', '3419709', '3973445', '26025820', '1590744']"
56,0.0006668567657470703,1.0,5183,"['4709641', '13814480', '11659421', '4459491', '30351165']"
57,0.003573894500732422,1.0,5183,"['4709641', '13814480', '11659421', '4459491', '30351165']"
70,0.0006840229034423828,1.0,5183,"['5956380', '4414547', '43880096', '9483851', '9169645']"
72,0.0006608963012695312,1.0,5183,"['6076903', '39291138', '23863576', '15491404', '23076291']"
75,0.0006029605865478516,1.0,5183,"['4387784', '13965483', '37768883', '36233757', '26488879']"
94,0.0013208389282226562,1.0,5183,"['1215116', '17925632', '37205685', '3929361', '6503185']"
99,0.001390218734741211,1.0,5183,"['18810195', '11256632', '39863735', '36540079', '30208015']"
100,0.0007941722869873047,1.0,5183,"['4381486', '4421787', '14550841', '13116880', '9154703']"
113,0.0008592605590820312,1.0,5183,"['25816994', '6157837', '44030361', '35724562', '3825750']"
115,0.0005910396575927734,1.0,5183,"['33872649', '34760396', '10408324', '32827351', '43054703']"
118,0.0008540153503417969,1.0,5183,"['6372244', '4465735', '32454714', '20148808', '4492358']"
124,0.0008330345153808594,1.0,5183,"['4883040', '7111021', '32012666', '374902', '31363207']"
127,0.000997781753540039,1.0,5183,"['25263810', '11048759', '21598000', '2474731', '39863735']"
128,0.0017740726470947266,0.0,5183,"['12549585', '2056197', '24998764', '22867765', '5254741']"
129,0.0006320476531982422,1.0,5183,"['27768226', '16979690', '6477536', '4688277', '790598']"
130,0.0006840229034423828,1.0,5183,"['27768226', '16979690', '4688277', '790598', '10577574']"
132,0.0006089210510253906,0.0,5183,"['6945691', '3866315', '6407356', '20732789', '6923961']"
133,0.0005900859832763672,0.8,5183,"['16280642', '17934082', '86694016', '12640810', '6969753']"
137,0.0007398128509521484,1.0,5183,"['26016929', '8298120', '21914176', '457630', '24735908']"
141,0.0008900165557861328,1.0,5183,"['14437255', '6955746', '10624000', '38794814', '36860856']"
142,0.0013420581817626953,1.0,5183,"['10582939', '40164383', '43587663', '24101431', '301866']"
143,0.00084686279296875,1.0,5183,"['10582939', '40164383', '24101431', '43587663', '51728753']"
146,0.0006730556488037109,1.0,5183,"['10582939', '40164383', '24101431', '24825841', '51728753']"
148,0.0006330013275146484,1.0,5183,"['1084345', '3230557', '16693950', '52887689', '56528795']"
163,0.0006170272827148438,1.0,5183,"['18872233', '43220289', '19071857', '29022271', '40949706']"
171,0.0007219314575195312,1.0,5183,"['12670680', '28015516', '28149602', '14853989', '5448119']"
179,0.0007679462432861328,0.75,5183,"['16322674', '17450673', '27123743', '37480103', '5487448']"
180,0.0006699562072753906,1.0,5183,"['16966326', '13380011', '9217800', '2601324', '57574395']"
183,0.0007169246673583984,1.0,5183,"['46193388', '22406695', '12827098', '7521113', '34982259']"
185,0.001178741455078125,1.0,5183,"['18340282', '22975806', '20280410', '17450673', '17088791']"
198,0.0009672641754150391,1.0,5183,"['27602752', '24384587', '14657344', '29347970', '2177022']"
208,0.0007989406585693359,1.0,5183,"['13519661', '380526', '10279084', '32534305', '4886637']"
212,0.0008807182312011719,1.0,5183,"['9291668', '42387637', '7808055', '14475235', '22038539']"
213,0.0008082389831542969,0.0,5183,"['27054878', '20887554', '2391552', '21048969', '9846940']"
216,0.001129150390625,1.0,5183,"['21366394', '21363424', '12100963', '40096222', '3835423']"
217,0.0006351470947265625,1.0,5183,"['21366394', '21363424', '3835423', '15972906', '6123924']"
218,0.0006341934204101562,1.0,5183,"['21366394', '1800734', '696006', '883747', '40365566']"
219,0.0005967617034912109,1.0,5183,"['21366394', '1800734', '40365566', '20311968', '883747']"
230,0.0006320476531982422,1.0,5183,"['3067015', '71625969', '52072815', '38028419', '26456326']"
232,0.000762939453125,1.0,5183,"['10536636', '7655029', '29090823', '457630', '8298120']"
233,0.0008690357208251953,1.0,5183,"['4388470', '16963081', '12232678', '23581096', '41380943']"
236,0.0017757415771484375,1.0,5183,"['4388470', '16963081', '23581096', '12232678', '40971746']"
237,0.0006451606750488281,1.0,5183,"['4942718', '12881593', '34386619', '464511', '35085326']"
238,0.0006029605865478516,1.0,5183,"['4463811', '2000038', '2251426', '7426741', '19460822']"
239,0.0006120204925537109,0.0,5183,"['3230557', '16693950', '22264117', '615047', '15521377']"
248,0.0006349086761474609,1.0,5183,"['1568684', '70704988', '4841908', '36889513', '5775033']"
249,0.0010471343994140625,1.0,5183,"['1568684', '4841908', '70704988', '36889513', '12280462']"
261,0.0006928443908691406,0.5,5183,"['32322418', '25822299', '46743299', '17097974', '1122279']"
268,0.001893758773803711,0.0,5183,"['25308734', '34121231', '12383365', '4340358', '4810810']"
269,0.0006856918334960938,0.0,5183,"['25308734', '34121231', '12383365', '4810810', '18592108']"
274,0.0008120536804199219,1.0,5183,"['11614737', '5114940', '34369306', '8570690', '24019260']"
275,0.0009191036224365234,0.6666666666666666,5183,"['4920376', '4961038', '14819804', '85665741', '4320424']"
279,0.0014967918395996094,1.0,5183,"['14376683', '37677954', '83667891', '14185503', '35711485']"
294,0.0015749931335449219,0.0,5183,"['1256116', '10766688', '19058822', '8250852', '17240457']"
295,0.0017371177673339844,1.0,5183,"['20310709', '22791348', '24044977', '29423324', '1022115']"
298,0.0018839836120605469,1.0,5183,"['39381118', '23887844', '23403754', '8654183', '8551160']"
300,0.0006759166717529297,1.0,5183,"['16120395', '3553087', '15551129', '40721190', '23604601']"
303,0.0006361007690429688,1.0,5183,"['4085204', '28390999', '23581096', '4388470', '28928964']"
312,0.0005979537963867188,0.0,5183,"['14464451', '20375264', '17447653', '32770503', '25536577']"
314,0.0007150173187255859,1.0,5183,"['2638387', '4347374', '544971', '24896957', '22703082']"
324,0.0006358623504638672,0.0,5183,"['3083927', '44562221', '52874170', '13509809', '10795340']"
327,0.0005860328674316406,1.0,5183,"['23912923', '18199839', '5922085', '17997584', '5572127']"
338,0.0007789134979248047,1.0,5183,"['23349986', '24211561', '15948830', '36288526', '20645335']"
343,0.0007491111755371094,1.0,5183,"['23783727', '7873737', '6158879', '5884524', '44387884']"
350,0.001474142074584961,1.0,5183,"['16927286', '23342686', '13552682', '1748921', '8426046']"
354,0.0008499622344970703,1.0,5183,"['8774475', '1241113', '16086778', '7898952', '2014909']"
362,0.0006480216979980469,1.0,5183,"['38587347', '15488881', '15058155', '8137081', '5003144']"
380,0.0010271072387695312,1.0,5183,"['19005293', '26068103', '3083927', '12100963', '6182947']"
384,0.0007190704345703125,1.0,5183,"['25451374', '13770184', '8582337', '581832', '51972698']"
385,0.0006830692291259766,1.0,5183,"['1032372', '9955779', '9767444', '6923961', '26230669']"
386,0.0013129711151123047,1.0,5183,"['16495649', '42404093', '21260231', '39300105', '12258338']"
388,0.0006508827209472656,1.0,5183,"['1148122', '21602220', '38028419', '12881593', '71625969']"
399,0.0005922317504882812,1.0,5183,"['791050', '32357890', '21003930', '471921', '42387637']"
410,0.0009238719940185547,1.0,5183,"['14924526', '15889329', '1410197', '13757347', '35520219']"
411,0.0006489753723144531,1.0,5183,"['14924526', '15889329', '1410197', '13757347', '35520219']"
415,0.0005948543548583984,1.0,5183,"['51386222', '6309659', '12443371', '30351165', '24906548']"
421,0.0006039142608642578,0.0,5183,"['1065627', '6944800', '25435456', '12866641', '5254741']"
431,0.0005970001220703125,1.0,5183,"['29429111', '14496749', '16728949', '28937856', '19922508']"
